traffic_light,step_time,reward,lanes_queue,waiting_time_per_lane
t,430.0,1.2799999999999998,"[0, 0, 3, 3]","[0.0, 0.0, 158.0, 123.0]"
t,435.0,0.1200000000000001,"[0, 0, 4, 5]","[0.0, 0.0, 177.0, 142.0]"
t,440.0,-0.3799999999999999,"[0, 0, 4, 5]","[0.0, 0.0, 156.0, 134.0]"
t,445.0,0.7399999999999998,"[2, 1, 4, 4]","[8.0, 4.0, 111.0, 92.0]"
t,450.0,0.6700000000000002,"[1, 0, 2, 2]","[8.0, 0.0, 92.0, 59.0]"
t,455.0,0.15999999999999992,"[0, 0, 3, 2]","[0.0, 0.0, 101.0, 66.0]"
t,460.0,-0.3599999999999999,"[0, 0, 5, 5]","[0.0, 0.0, 124.0, 84.0]"
t,465.0,-0.3599999999999999,"[0, 0, 5, 4]","[0.0, 0.0, 93.0, 71.0]"
t,470.0,0.25,"[1, 0, 3, 3]","[3.0, 0.0, 74.0, 56.0]"
t,475.0,0.33000000000000007,"[0, 0, 2, 2]","[0.0, 0.0, 72.0, 56.0]"
t,480.0,0.0,"[0, 0, 2, 2]","[0.0, 0.0, 80.0, 68.0]"
t,485.0,-0.32000000000000006,"[0, 0, 6, 6]","[0.0, 0.0, 103.0, 91.0]"
t,490.0,-0.32000000000000006,"[1, 0, 4, 4]","[2.0, 0.0, 82.0, 75.0]"
t,495.0,0.1299999999999999,"[2, 1, 3, 3]","[12.0, 4.0, 63.0, 58.0]"
t,500.0,0.21999999999999997,"[0, 0, 2, 3]","[8.0, 0.0, 59.0, 74.0]"
t,505.0,-0.05999999999999983,"[0, 0, 4, 4]","[0.0, 0.0, 73.0, 88.0]"
t,510.0,-0.3700000000000001,"[0, 0, 5, 5]","[0.0, 0.0, 77.0, 91.0]"
t,515.0,0.15000000000000013,"[0, 0, 3, 4]","[0.0, 0.0, 79.0, 93.0]"
t,520.0,0.3999999999999999,"[0, 0, 2, 3]","[0.0, 0.0, 40.0, 75.0]"
t,525.0,0.3999999999999999,"[0, 0, 2, 4]","[0.0, 0.0, 47.0, 94.0]"
t,530.0,-0.21999999999999997,"[0, 0, 4, 5]","[0.0, 0.0, 61.0, 117.0]"
t,535.0,-0.41999999999999993,"[0, 0, 5, 7]","[0.0, 0.0, 68.0, 124.0]"
t,540.0,0.05999999999999983,"[1, 0, 4, 5]","[2.0, 0.0, 58.0, 106.0]"
t,545.0,0.44000000000000017,"[1, 0, 2, 3]","[7.0, 0.0, 46.0, 87.0]"
t,550.0,0.44000000000000017,"[0, 0, 2, 3]","[0.0, 0.0, 54.0, 103.0]"
t,555.0,-0.18000000000000016,"[0, 0, 5, 5]","[0.0, 0.0, 72.0, 125.0]"
t,560.0,-0.3999999999999999,"[0, 0, 8, 8]","[0.0, 0.0, 104.0, 160.0]"
t,565.0,-0.6700000000000002,"[0, 0, 8, 8]","[0.0, 0.0, 124.0, 174.0]"
t,570.0,-0.16999999999999993,"[1, 0, 7, 6]","[1.0, 0.0, 120.0, 155.0]"
t,575.0,0.43000000000000016,"[0, 0, 6, 5]","[0.0, 0.0, 112.0, 135.0]"
t,580.0,-0.5100000000000002,"[0, 0, 4, 5]","[0.0, 0.0, 135.0, 163.0]"
t,585.0,-0.3999999999999999,"[0, 0, 4, 6]","[0.0, 0.0, 153.0, 186.0]"
t,590.0,-0.3999999999999999,"[0, 1, 4, 5]","[0.0, 2.0, 128.0, 155.0]"
t,595.0,0.3799999999999999,"[2, 1, 2, 3]","[6.0, 1.0, 100.0, 122.0]"
t,600.0,0.5300000000000002,"[1, 0, 1, 3]","[7.0, 2.0, 94.0, 140.0]"
t,605.0,-0.0900000000000003,"[0, 0, 3, 3]","[0.0, 0.0, 104.0, 152.0]"
t,610.0,-0.3299999999999996,"[0, 0, 6, 6]","[0.0, 0.0, 127.0, 176.0]"
t,615.0,-0.6600000000000001,"[0, 0, 8, 9]","[0.0, 0.0, 163.0, 216.0]"
t,620.0,-0.6600000000000001,"[0, 0, 6, 7]","[0.0, 0.0, 144.0, 185.0]"
t,625.0,0.16999999999999993,"[1, 0, 6, 7]","[2.0, 0.0, 127.0, 162.0]"
t,630.0,0.3799999999999999,"[0, 0, 5, 4]","[1.0, 0.0, 156.0, 185.0]"
t,635.0,-0.6999999999999997,"[0, 0, 5, 4]","[0.0, 0.0, 184.0, 208.0]"
t,640.0,-0.5299999999999998,"[0, 0, 9, 8]","[0.0, 0.0, 219.0, 240.0]"
t,645.0,-0.8300000000000001,"[0, 0, 11, 11]","[0.0, 0.0, 271.0, 289.0]"
t,650.0,-1.1100000000000003,"[0, 0, 14, 15]","[0.0, 0.0, 335.0, 354.0]"
t,655.0,-1.4000000000000004,"[0, 0, 16, 16]","[0.0, 0.0, 364.0, 382.0]"
t,660.0,-0.1899999999999995,"[0, 0, 13, 13]","[0.0, 0.0, 344.0, 404.0]"
t,665.0,0.6600000000000001,"[0, 0, 9, 9]","[0.0, 0.0, 313.0, 323.0]"
t,670.0,1.5499999999999998,"[1, 0, 4, 5]","[1.0, 0.0, 278.0, 277.0]"
t,675.0,1.5499999999999998,"[0, 0, 2, 1]","[0.0, 0.0, 289.0, 290.0]"
t,680.0,-0.3700000000000001,"[0, 0, 4, 4]","[0.0, 0.0, 305.0, 306.0]"
t,685.0,-0.3799999999999999,"[0, 0, 8, 7]","[0.0, 0.0, 336.0, 337.0]"
t,690.0,-0.6799999999999997,"[0, 0, 11, 10]","[0.0, 0.0, 383.0, 384.0]"
t,695.0,-1.0100000000000007,"[0, 0, 14, 13]","[0.0, 0.0, 450.0, 445.0]"
t,700.0,-1.3399999999999999,"[0, 0, 16, 15]","[0.0, 0.0, 527.0, 518.0]"
t,705.0,-1.5199999999999996,"[0, 0, 14, 14]","[0.0, 0.0, 543.0, 529.0]"
t,710.0,0.5099999999999998,"[0, 0, 10, 10]","[0.0, 0.0, 481.0, 466.0]"
t,715.0,1.3100000000000005,"[0, 0, 8, 8]","[0.0, 0.0, 417.0, 401.0]"
t,720.0,2.3499999999999996,"[1, 1, 3, 4]","[5.0, 1.0, 341.0, 331.0]"
t,725.0,2.3499999999999996,"[0, 0, 2, 1]","[0.0, 0.0, 349.0, 339.0]"
t,730.0,-0.29000000000000004,"[0, 0, 4, 5]","[0.0, 0.0, 365.0, 356.0]"
t,735.0,-0.33000000000000007,"[0, 0, 4, 4]","[0.0, 0.0, 329.0, 329.0]"
t,740.0,1.5300000000000002,"[0, 1, 4, 3]","[0.0, 1.0, 245.0, 240.0]"
t,745.0,1.6399999999999997,"[1, 0, 1, 2]","[3.0, 0.0, 162.0, 202.0]"
t,750.0,0.2200000000000002,"[0, 0, 3, 3]","[0.0, 0.0, 174.0, 214.0]"
t,755.0,-0.3999999999999999,"[0, 0, 5, 6]","[0.0, 0.0, 194.0, 239.0]"
t,760.0,-0.6600000000000001,"[0, 0, 8, 9]","[0.0, 0.0, 228.0, 277.0]"
t,765.0,-0.6600000000000001,"[0, 0, 7, 8]","[0.0, 0.0, 224.0, 216.0]"
t,770.0,0.7599999999999998,"[0, 0, 6, 7]","[0.0, 0.0, 137.0, 168.0]"
t,775.0,0.9300000000000002,"[0, 0, 5, 4]","[0.0, 0.0, 163.0, 165.0]"
t,780.0,-0.3900000000000001,"[0, 0, 5, 3]","[0.0, 0.0, 191.0, 185.0]"
t,785.0,-0.4399999999999995,"[0, 0, 6, 5]","[0.0, 0.0, 218.0, 206.0]"
t,790.0,-0.4399999999999995,"[0, 0, 5, 4]","[0.0, 0.0, 170.0, 158.0]"
t,795.0,0.7399999999999998,"[1, 1, 3, 2]","[5.0, 5.0, 114.0, 117.0]"
t,800.0,0.8699999999999997,"[0, 0, 3, 2]","[3.0, 0.0, 127.0, 129.0]"
t,805.0,-0.2999999999999998,"[0, 0, 5, 5]","[0.0, 0.0, 146.0, 152.0]"
t,810.0,-0.4900000000000002,"[0, 0, 6, 7]","[0.0, 0.0, 146.0, 153.0]"
t,815.0,0.3600000000000003,"[0, 0, 4, 5]","[0.0, 0.0, 142.0, 151.0]"
t,820.0,0.5800000000000001,"[0, 0, 3, 3]","[0.0, 0.0, 111.0, 99.0]"
t,825.0,0.5800000000000001,"[0, 0, 4, 4]","[0.0, 0.0, 127.0, 116.0]"
t,830.0,-0.2400000000000002,"[0, 0, 6, 5]","[0.0, 0.0, 151.0, 139.0]"
t,835.0,-0.52,"[0, 0, 6, 5]","[0.0, 0.0, 151.0, 140.0]"
t,840.0,0.3700000000000001,"[0, 0, 5, 4]","[0.0, 0.0, 120.0, 108.0]"
t,845.0,0.56,"[0, 0, 2, 3]","[0.0, 0.0, 114.0, 105.0]"
t,850.0,0.56,"[0, 0, 4, 4]","[0.0, 0.0, 134.0, 123.0]"
t,855.0,-0.48,"[0, 0, 5, 6]","[0.0, 0.0, 158.0, 145.0]"
t,860.0,-0.45999999999999996,"[0, 0, 8, 8]","[0.0, 0.0, 193.0, 180.0]"
t,865.0,-0.7000000000000002,"[0, 0, 12, 12]","[0.0, 0.0, 246.0, 231.0]"
t,870.0,-1.0399999999999996,"[0, 0, 17, 15]","[0.0, 0.0, 316.0, 300.0]"
t,875.0,-1.3900000000000006,"[0, 0, 19, 19]","[0.0, 0.0, 403.0, 387.0]"
t,880.0,-1.7400000000000002,"[0, 0, 16, 16]","[0.0, 0.0, 440.0, 425.0]"
t,885.0,-0.3699999999999992,"[1, 0, 11, 12]","[2.0, 0.0, 410.0, 401.0]"
t,890.0,0.5499999999999998,"[0, 0, 7, 7]","[0.0, 0.0, 412.0, 366.0]"
t,895.0,-0.5200000000000005,"[0, 0, 6, 5]","[0.0, 0.0, 441.0, 394.0]"
t,900.0,-0.5099999999999998,"[0, 0, 6, 5]","[0.0, 0.0, 467.0, 419.0]"
t,905.0,-0.6400000000000006,"[0, 0, 9, 7]","[0.0, 0.0, 505.0, 450.0]"
t,910.0,-0.9900000000000002,"[0, 0, 12, 11]","[0.0, 0.0, 562.0, 499.0]"
t,915.0,-1.3099999999999987,"[0, 0, 16, 14]","[0.0, 0.0, 634.0, 565.0]"
t,920.0,-1.6300000000000008,"[0, 0, 19, 17]","[0.0, 0.0, 722.0, 646.0]"
t,925.0,-1.6300000000000008,"[0, 0, 15, 15]","[0.0, 0.0, 670.0, 603.0]"
t,930.0,0.3100000000000005,"[0, 0, 10, 10]","[0.0, 0.0, 609.0, 539.0]"
